bond_pair,reaction,mol_name,mol_cas,mol_url,Hf_mol_kJ_mol,Hf_mol_ref,radA_name,radA_cas,radA_url,Hf_radA_kJ_mol,Hf_radA_ref,radB_name,radB_cas,radB_url,Hf_radB_kJ_mol,Hf_radB_ref,BDE_kJ_mol,status,notes
H-H,H2 → 2 H•,Hydrogen,1333-74-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Mask=1,0.0,definição IUPAC/CODATA — elemento no estado padrão,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",436.0,ok,
C-H,CH4 → CH3• + H•,Methane,74-82-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74828&Mask=1,-74.87,"Chase, 1998",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",438.56,ok,
N-H,NH3 → NH2• + H•,Ammonia,7664-41-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664417&Mask=1,-45.94,"Cox, Wagman, et al., 1984",Amino radical,13770-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13770406&Mask=1,190.37,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",454.31,ok,
O-H,H2O → OH• + H•,Water,7732-18-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7732185&Mask=1,-241.826,"Cox, Wagman, et al., 1984",Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",498.81,ok,
S-H,H2S → SH• + H•,Hydrogen sulfide,7783-06-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783064&Mask=1,-20.6,"Cox, Wagman, et al., 1984",Mercapto radical,13940-21-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13940211&Mask=1,139.33,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",377.93,ok,
F-H,HF → F• + H•,Hydrogen fluoride,7664-39-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=1,-273.3,"Cox, Wagman, et al., 1984",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",570.68,ok,
Cl-H,HCl → Cl• + H•,Hydrogen chloride,7647-01-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7647010&Mask=1,-92.31,"Cox, Wagman, et al., 1984",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",431.61,ok,
Br-H,HBr → Br• + H•,Hydrogen bromide,10035-10-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10035106&Mask=1,-36.29,"Cox, Wagman, et al., 1984",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",366.16,ok,
I-H,HI → I• + H•,Hydrogen iodide,10034-85-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10034852&Mask=1,26.5,"Cox, Wagman, et al., 1984",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",298.26,ok,
P-H,PH3 → PH2• + H•,Phosphine,7803-51-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7803512&Mask=1,5.47,"Chase, 1998",Phosphino radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Phosphino radical)
Si-H,SiH4 → SiH3• + H•,Silane,7803-62-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7803625&Mask=1,34.31,"Chase, 1998",Silyl radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Silyl radical)
B-H,BH3 → BH2• + H•,Borane,19287-45-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C19287457&Mask=1,41.0,"Chase, 1998",BH2 radical,16949-14-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C16949143&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(BH2 radical)
Se-H,H2Se → HSe• + H•,Hydrogen selenide,7783-07-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783075&Mask=1,,,Hydroseleno radical,31648-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C31648074&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Hydrogen selenide), ΔfH°(Hydroseleno radical)"
Te-H,H2Te → HTe• + H•,Hydrogen telluride,7783-09-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783097&Mask=1,,,Tellanyl radical,162949-53-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C162949533&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Hydrogen telluride), ΔfH°(Tellanyl radical)"
C-C,C2H6 → 2 CH3•,Ethane,74-84-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74840&Mask=1,-84.0,"Manion, 2002",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",375.38,ok,
C=C,C2H4 → C2H3• + H•,Ethene,74-85-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74851&Mask=1,52.47,"Chase, 1998",Vinyl radical,2669-89-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2669898&Mask=1,299.0,"Tsang, 1996",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",464.53,ok,
C#C,C2H2 → C2H• + H•,Ethyne,74-86-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74862&Mask=1,226.73,"Chase, 1998",Ethynyl radical,2122-48-7,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2122487&Mask=1,476.98,"Chase, 1998",Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",468.25,ok,
C-C-pri,CH3CH2CH3 → C2H5• + CH3•,Propane,74-98-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74986&Mask=1,-104.7,"Pittam and Pilcher, 1972",Ethyl radical,2025-56-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2025561&Mask=1,119.0,"Tsang, 1996",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",369.39,ok,
C-C-sec,n-C4H10 → n-C3H7• + CH3•,n-Butane,106-97-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C106978&Mask=1,-125.6,"Pittam and Pilcher, 1972",1-Propyl radical,2143-61-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2143615&Mask=1,100.0,"Tsang, 1996",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",371.29,ok,
C-C-iso,i-C4H10 → i-C3H7• + CH3•,Isobutane,75-28-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75285&Mask=1,-134.2,"Pittam and Pilcher, 1972",Isopropyl radical,2025-43-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2025436&Mask=1,,,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Isopropyl radical)
C-C-neo,neo-C5H12 → t-C4H9• + CH3•,Neopentane,463-82-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C463821&Mask=1,-167.9,"Good, 1970",tert-Butyl radical,1605-73-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1605738&Mask=1,48.0,"Tsang, 1996",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",361.59,ok,
C-F,CH3F → CH3• + F•,Fluoromethane,593-53-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593533&Mask=1,-234.3,"Chase, 1998",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",459.37,ok,
C-Cl,CH3Cl → CH3• + Cl•,Chloromethane,74-87-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74873&Mask=1,-83.68,"Chase, 1998",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",350.67,ok,
C-Br,CH3Br → CH3• + Br•,Bromomethane,74-83-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74839&Mask=1,-34.3,"Ferguson, Okafo, et al., 1973",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",291.86,ok,
C-I,CH3I → CH3• + I•,Iodomethane,74-88-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74884&Mask=1,14.3,"Golden, Walsh, et al., 1965",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",238.15,ok,
CF3-F,CF4 → CF3• + F•,Tetrafluoromethane,75-73-0,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75730&Mask=1,-930.0,N/A,Trifluoromethyl radical,2264-21-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2264213&Mask=1,-470.28,"Chase, 1998",Fluorine atom,14762-94-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14762948&Mask=1,79.38,"Cox, Wagman, et al., 1984",539.1,ok,
CF3-Cl,CF3Cl → CF3• + Cl•,Chlorotrifluoromethane,75-72-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75729&Mask=1,-710.0,N/A,Trifluoromethyl radical,2264-21-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2264213&Mask=1,-470.28,"Chase, 1998",Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",361.02,ok,
CF3-Br,CF3Br → CF3• + Br•,Bromotrifluoromethane,75-63-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75638&Mask=1,-648.94,"Chase, 1998",Trifluoromethyl radical,2264-21-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2264213&Mask=1,-470.28,"Chase, 1998",Bromine atom,10097-32-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10097322&Mask=1,111.87,"Cox, Wagman, et al., 1984",290.53,ok,
CF3-I,CF3I → CF3• + I•,Trifluoroiodomethane,2314-97-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2314978&Mask=1,-589.11,"Chase, 1998",Trifluoromethyl radical,2264-21-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2264213&Mask=1,-470.28,"Chase, 1998",Iodine atom,14362-44-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14362448&Mask=1,106.76,"Cox, Wagman, et al., 1984",225.59,ok,
CCl3-Cl,CCl4 → CCl3• + Cl•,Tetrachloromethane,56-23-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C56235&Mask=1,-100.0,N/A,Trichloromethyl radical,3170-18-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3170181&Mask=1,,,Chlorine atom,22537-15-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C22537151&Mask=1,121.301,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Trichloromethyl radical)
CHF2-H,CH2F2 → CHF2• + H•,Difluoromethane,75-10-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75105&Mask=1,-450.66,"Chase, 1998",Difluoromethyl radical,4966-15-8,https://webbook.nist.gov/cgi/cbook.cgi?ID=C4966158&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Difluoromethyl radical)
CH2F-H,CH3F → CH2F• + H•,Fluoromethane,593-53-3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593533&Mask=1,-234.3,"Chase, 1998",Fluoromethyl radical,6925-28-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C6925286&Mask=1,,,Hydrogen atom,12385-13-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C12385136&Mask=1,217.998,"Cox, Wagman, et al., 1984",,unavailable_all,Sem dados (NIST WebBook + CCCBDB): ΔfH°(Fluoromethyl radical)
C-N,CH3NH2 → CH3• + NH2•,Methylamine,74-89-5,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74895&Mask=1,-23.5,"Aston, Siller, et al., 1937",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Amino radical,13770-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13770406&Mask=1,190.37,"Chase, 1998",359.56,ok,
C-O,CH3OH → CH3• + OH•,Methanol,67-56-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C67561&Mask=1,-205.0,N/A,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Hydroxyl radical,3352-57-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3352576&Mask=1,38.99,"Chase, 1998",389.68,ok,
C-S,CH3SH → CH3• + SH•,Methanethiol,74-93-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C74931&Mask=1,-22.8,"Good, Lacina, et al., 1961",Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Mercapto radical,13940-21-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13940211&Mask=1,139.33,"Chase, 1998",307.82,ok,
C-P,CH3PH2 → CH3• + PH2•,Methylphosphine,593-54-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C593544&Mask=1,,,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Phosphino radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Methylphosphine), ΔfH°(Phosphino radical)"
C-Si,CH3SiH3 → CH3• + SiH3•,Methylsilane,992-94-9,https://webbook.nist.gov/cgi/cbook.cgi?ID=C992949&Mask=1,,,Methyl radical,2229-07-4,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2229074&Mask=1,145.69,"Chase, 1998",Silyl radical,13765-44-1,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13765441&Mask=1,,,,unavailable_all,"Sem dados (NIST WebBook + CCCBDB): ΔfH°(Methylsilane), ΔfH°(Silyl radical)"
N-N,N2H4 → 2 NH2•,Hydrazine,302-01-2,https://webbook.nist.gov/cgi/cbook.cgi?ID=C302012&Mask=1,95.35,"Chase, 1998",Amino radical,13770-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13770406&Mask=1,190.37,"Chase, 1998",Amino radical,13770-40-6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C13770406&Mask=1,190.37,"Chase, 1998",285.39,ok,
